ID,SMILES,pIC50
CHEMBL3647921,N#C[C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,6.92
CHEMBL3647922,N#C[C@@H]1CCCC[C@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)F)cc2)n1,8.125
CHEMBL3647923,N#C[C@@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)CC(F)(F)F)cc2)n1,8.375
CHEMBL3647924,N#C[C@H]1C[C@H](O)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,8.015
CHEMBL3647925,CC(C)(C)OC(=O)N[C@@H]1CC[C@H](C#N)C(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,6.685
CHEMBL3647928,[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(CC(=O)O)cc2)n1,7.31
CHEMBL3647930,CC1(C)CC[C@H](C#N)[C@@H](n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,7.3
CHEMBL3647932,N#C[C@@H]1C[C@@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,8.3
CHEMBL3647933,C[C@]1(C#N)CC[C@H](F)C[C@@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,8.1
CHEMBL3650673,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,7.52
CHEMBL3650674,CN(C)[C@@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,7.985
CHEMBL3650677,CS(=O)(=O)N[C@@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,7.92
CHEMBL3650678,CS(=O)(=O)c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cc1,7.57
CHEMBL3650679,CS(=O)(=O)c1ccc(Nc2nn([C@H]3CCCC[C@H]3C#N)cc2C(N)=O)cc1,7.07
CHEMBL3650680,N#C[C@@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,8.05
CHEMBL3650683,CS(=O)(=O)c1ccc(Nc2nn([C@@H]3CCCC[C@H]3C#N)cc2C(N)=O)cc1,8.15
CHEMBL3650684,N#C[C@H]1C[C@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,8.52
CHEMBL3699460,N#C[C@@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,6.86
CHEMBL3699463,[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccccc2)n1,7.44
CHEMBL3699464,N#C[C@H]1C[C@H](O)CCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,7.16
